,Multimodal CNN,Multimodal ResNet50,CNN-Only,ResNet50-Only,Tabular-Only
Accuracy,0.4827586206896552,0.3891625615763547,0.10344827586206896,0.4729064039408867,0.17733990147783252
Precision,0.41575816307303026,0.3552291764193878,0.2609861971418817,0.3252979075579824,0.26625574213576525
Recall,0.4827586206896552,0.3891625615763547,0.10344827586206896,0.4729064039408867,0.17733990147783252
F1-Score,0.4368340242175477,0.37038327546002586,0.02741449293173431,0.38483568217277875,0.19112154069885756
AUC-ROC,0.6365467823922838,0.5309737128562704,0.4885383384378099,0.5121466541562273,0.4142725726356453
